vmcs_revision_id: 0000000016
0x00000000: 00752
0x00000002: 00068
0x00000004: fault
0x00000800: 00512
0x00000802: 00536
0x00000804: 00560
0x00000806: 00584
0x00000808: 00608
0x0000080a: 00632
0x0000080c: 00656
0x0000080e: 00680
0x00000810: 00064
0x00000812: fault
0x00000c00: 00768
0x00000c02: 00772
0x00000c04: 00776
0x00000c06: 00780
0x00000c08: 00784
0x00000c0a: 00788
0x00000c0c: 00792
0x00002000: 00160
0x00002002: 00168
0x00002004: 00176
0x00002006: 00184
0x00002008: 00192
0x0000200a: 00200
0x0000200c: 00208
0x0000200e: fault
0x00002010: 00216
0x00002012: 00224
0x00002014: 00120
0x00002016: 00080
0x00002018: fault
0x0000201a: 00232
0x0000201c: 00088
0x0000201e: 00096
0x00002020: 00104
0x00002022: 00112
0x00002024: fault
0x00002026: fault
0x00002028: fault
0x0000202a: fault
0x0000202c: fault
0x0000202e: fault
0x00002030: fault
0x00002032: fault
0x00002036: fault
0x00002800: 00248
0x00002802: 00256
0x00002804: 00264
0x00002806: 00272
0x00002808: 00280
0x0000280a: 00928
0x0000280c: 00936
0x0000280e: 00944
0x00002810: 00952
0x00002812: fault
0x00002814: fault
0x00002818: fault
0x00002c00: 00800
0x00002c02: 00808
0x00002c04: 00816
0x00002c06: fault
0x00004000: 00296
0x00004002: 00288
0x00004004: 00300
0x00004006: 00304
0x00004008: 00308
0x0000400a: 00312
0x0000400c: 00316
0x0000400e: 00320
0x00004010: 00324
0x00004012: 00328
0x00004014: 00332
0x00004016: 00336
0x00004018: 00340
0x0000401a: 00344
0x0000401c: 00348
0x0000401e: 00292
0x00004020: 00072
0x00004022: 00076
0x00004800: 00528
0x00004802: 00552
0x00004804: 00576
0x00004806: 00600
0x00004808: 00624
0x0000480a: 00648
0x0000480c: 00672
0x0000480e: 00696
0x00004810: 00720
0x00004812: 00724
0x00004824: 00392
0x00004826: 00396
0x00004828: 00400
0x0000482a: 00404
0x0000482e: 00352
0x00004c00: 00920
0x00006000: 00960
0x00006002: 00968
0x00006004: 00976
0x00006006: 00984
0x00006008: 00992
0x0000600a: 01000
0x0000600c: 01008
0x0000600e: 01016
0x00006800: 00728
0x00006802: 00736
0x00006804: 00744
0x00006806: 00520
0x00006808: 00544
0x0000680a: 00568
0x0000680c: 00592
0x0000680e: 00616
0x00006810: 00640
0x00006812: 00664
0x00006814: 00688
0x00006816: 00704
0x00006818: 00712
0x0000681a: 00456
0x0000681c: 00464
0x0000681e: 00472
0x00006820: 00480
0x00006822: 00488
0x00006824: 00496
0x00006826: 00504
0x00006828: fault
0x0000682a: fault
0x0000682c: fault
0x00006c00: 00824
0x00006c02: 00832
0x00006c04: 00840
0x00006c06: 00848
0x00006c08: 00856
0x00006c0a: 00864
0x00006c0c: 00872
0x00006c0e: 00880
0x00006c10: 00888
0x00006c12: 00896
0x00006c14: 00904
0x00006c16: 00912
0x00006c18: fault
0x00006c1a: fault
0x00006c1c: fault
